order_id,customer_id,product_id,quantity,order_date,name,age,gender,city,product_name,category,price,year,month
O00001,C0333,P022,1,2022-01-09,Christopher,34,Female,North Isaactown,Tax,Home,185.33,2022,January
O00002,C0068,P090,1,2022-01-27,Kathy,35,Female,Gambleport,Perform,Electronics,947.55,2022,January
O00003,C0483,P021,1,2022-01-17,Cody,36,Male,Lake Amandaport,Art,Electronics,938.65,2022,January
O00004,C0214,P076,4,2022-01-07,Jennifer,36,Male,Judithstad,Amount,Electronics,154.17,2022,January
O00005,C0411,P073,4,2022-01-12,Kent,25,Male,East Adamfort,Second,Electronics,131.85,2022,January
O00006,C0093,P079,4,2022-01-23,Laura,62,Male,Priceside,Dream,Clothing,721.44,2022,January
O00007,C0399,P046,5,2022-01-14,Christopher,49,Male,Hollowaychester,Around,Electronics,900.08,2022,January
O00008,C0015,P088,2,2022-01-10,Larry,41,Male,Lake Tammyland,Trip,Electronics,403.85,2022,January
O00009,C0248,P063,1,2022-01-06,Katherine,50,Male,Porterchester,Table,Home,252.25,2022,January
O00010,C0455,P053,4,2022-01-02,Stephanie,33,Male,Danielmouth,Be,Home,629.57,2022,January
O00011,C0024,P009,3,2022-01-18,Amber,38,Male,Travisfurt,Manage,Accessories,258.37,2022,January
O00012,C0336,P041,1,2022-01-16,Anna,47,Female,West Carlosport,Behind,Footwear,465.37,2022,January
O00013,C0361,P087,5,2022-01-30,Bradley,41,Female,Davidville,Body,Footwear,585.47,2022,January
O00014,C0393,P096,5,2022-01-07,Barry,29,Male,East Christopher,Service,Footwear,872.76,2022,January
O00015,C0371,P073,2,2022-01-23,James,34,Female,Nicholasburgh,Second,Electronics,131.85,2022,January
O00016,C0490,P086,3,2022-01-30,Jennifer,41,Female,Brightville,Edge,Home,908.91,2022,January
O00017,C0266,P067,5,2022-01-16,Suzanne,18,Female,Emilybury,Possible,Clothing,763.65,2022,January
O00018,C0049,P056,2,2022-01-11,Olivia,19,Male,Joshuabury,While,Footwear,795.06,2022,January
O00019,C0247,P045,4,2022-01-08,Keith,58,Female,Port Lydiamouth,Compare,Footwear,236.05,2022,January
O00020,C0077,P072,5,2022-01-01,Angela,25,Male,Port Jasonton,Phone,Footwear,847.22,2022,January
O00021,C0028,P002,2,2022-01-01,Crystal,61,Male,Theodoreland,Least,Accessories,56.56,2022,January
O00022,C0259,P061,4,2022-01-22,Stephanie,47,Female,East Jenniferfurt,Stage,Clothing,155.92,2022,January
O00023,C0446,P022,1,2022-01-03,William,18,Male,South Kimberlyton,Tax,Home,185.33,2022,January
O00024,C0385,P063,3,2022-01-30,Johnathan,53,Female,Lake Christopherhaven,Table,Home,252.25,2022,January
O00025,C0124,P043,3,2022-01-04,Tara,61,Female,West Heather,Force,Clothing,748.87,2022,January
O00026,C0026,P065,2,2022-01-27,Angelica,29,Female,Travishaven,Environmental,Electronics,38.36,2022,January
